DATE,UNRATE
1/1/18,4
2/1/18,4.1
3/1/18,4
4/1/18,4
5/1/18,3.8
6/1/18,4
7/1/18,3.8
8/1/18,3.8
9/1/18,3.7
10/1/18,3.8
11/1/18,3.8
12/1/18,3.9
1/1/19,4
2/1/19,3.8
3/1/19,3.8
4/1/19,3.7
5/1/19,3.7
6/1/19,3.6
7/1/19,3.6
8/1/19,3.7
9/1/19,3.5
10/1/19,3.6
11/1/19,3.6
12/1/19,3.6
1/1/20,3.5
2/1/20,3.5
3/1/20,4.4
4/1/20,14.8
5/1/20,13.3
6/1/20,11.1
7/1/20,10.2
8/1/20,8.4
9/1/20,7.8
10/1/20,6.9
11/1/20,6.7
12/1/20,6.7
1/1/21,6.3
2/1/21,6.2
3/1/21,6
4/1/21,6.1
